"","dvcat","dead","seatbelt","frontal","sex","ageOFocc","occRole","deploy","injSeverity"
"21861","25-39",0,"none",1,"m",47,"pass",1,3
"21944","55+",0,"none",0,"m",20,"driver",1,4
"21945","55+",0,"none",0,"m",20,"pass",0,4
"21956","40-54",0,"none",0,"m",44,"driver",1,4
"21967","10-24",0,"belted",0,"m",71,"driver",0,1
"22197","55+",0,"none",1,"m",36,"pass",1,4
"22200","25-39",0,"belted",0,"m",71,"driver",0,4
"22220","25-39",0,"none",1,"f",80,"driver",1,4
"22223","25-39",0,"none",1,"m",60,"driver",1,4
"22244","40-54",0,"belted",1,"f",71,"driver",0,4
"22269","10-24",0,"none",1,"m",22,"pass",1,4
"22294","40-54",0,"belted",0,"m",20,"pass",0,4
"22301","40-54",0,"none",0,"m",21,"driver",0,4
"22302","40-54",0,"belted",1,"m",33,"driver",1,3
"22311","40-54",0,"none",1,"m",68,"driver",1,4
"22325","40-54",0,"none",1,"m",42,"driver",1,4
"22334","10-24",0,"belted",0,"f",73,"driver",0,4
"22348","55+",0,"belted",1,"f",37,"driver",1,4
"22349","55+",0,"belted",1,"m",45,"pass",1,4
"22352","40-54",0,"none",1,"m",43,"driver",1,4
"22364","40-54",0,"belted",1,"f",27,"pass",0,4
"22365","25-39",0,"belted",0,"f",20,"driver",1,4
"22416","25-39",0,"belted",0,"m",55,"driver",0,3
"22419","25-39",0,"none",0,"m",23,"pass",0,4
"22436","10-24",0,"belted",0,"m",88,"driver",1,2
"22443","25-39",0,"belted",0,"f",18,"driver",0,4
"22478","25-39",0,"belted",1,"f",43,"driver",0,4
"22484","25-39",0,"none",0,"m",83,"driver",1,3
"22506","40-54",0,"belted",0,"f",48,"driver",0,4
"22507","55+",0,"none",0,"m",20,"driver",0,4
"22515","25-39",0,"belted",0,"f",19,"pass",1,4
"22516","55+",0,"none",0,"f",27,"driver",0,4
"22561","10-24",0,"belted",0,"m",72,"driver",0,4
"22648","55+",0,"belted",0,"f",27,"pass",0,3
"22657","40-54",0,"none",1,"f",63,"driver",1,4
"22688","40-54",0,"none",1,"f",29,"pass",1,4
"22747","40-54",0,"belted",0,"m",89,"driver",0,4
"22749","25-39",0,"none",1,"m",40,"driver",0,4
"22775","40-54",0,"none",1,"m",25,"driver",1,4
"22798","40-54",0,"none",1,"m",47,"driver",0,4
"22802","40-54",0,"none",1,"f",21,"driver",1,4
"22828","40-54",0,"belted",0,"m",50,"driver",1,2
"22834","25-39",0,"none",0,"m",47,"driver",1,4
"22852","10-24",0,"belted",0,"f",72,"driver",0,4
"22887","25-39",0,"belted",1,"f",54,"driver",1,4
"22906","40-54",0,"none",1,"m",59,"driver",0,4
"22922","25-39",0,"none",1,"m",27,"pass",1,4
"22943","55+",0,"belted",1,"m",60,"driver",1,4
"22944","55+",0,"belted",1,"f",60,"pass",1,4
"22966","25-39",0,"none",0,"m",44,"pass",0,4
"23001","40-54",0,"none",1,"m",28,"driver",0,4
"23091","55+",0,"none",1,"f",67,"driver",1,3
"23103","40-54",0,"belted",1,"f",43,"pass",0,4
"23119","40-54",0,"none",0,"f",42,"driver",1,4
"23120","40-54",0,"none",0,"m",45,"pass",0,4
"23126","55+",0,"none",1,"m",33,"driver",0,4
"23127","55+",0,"none",1,"f",38,"pass",0,4
"23176","25-39",0,"belted",0,"f",73,"pass",0,4
"23206","25-39",0,"none",1,"m",86,"driver",0,3
"23233","40-54",0,"none",0,"m",32,"driver",0,4
"23266","25-39",0,"none",1,"m",61,"driver",1,4
"23273","10-24",0,"belted",0,"m",89,"pass",0,4
"23427","10-24",0,"none",1,"m",46,"driver",1,4
"23452","55+",0,"none",1,"m",34,"driver",1,4
"23512","25-39",0,"belted",0,"f",18,"pass",1,4
"23518","40-54",0,"belted",0,"m",33,"pass",0,4
"23526","55+",0,"belted",0,"m",23,"driver",0,3
"23553","55+",0,"belted",0,"f",28,"driver",1,4
"23644","55+",0,"belted",1,"m",42,"driver",0,4
"23681","55+",0,"belted",0,"m",82,"driver",0,3
"23784","40-54",0,"belted",0,"f",21,"driver",0,4
"23791","25-39",0,"none",0,"m",25,"driver",0,4
"23800","40-54",0,"belted",0,"m",63,"driver",1,4
"23828","10-24",0,"none",1,"m",71,"driver",0,4
"23843","55+",0,"belted",1,"m",35,"driver",1,4
"23845","25-39",0,"none",0,"m",25,"driver",0,4
"23862","55+",0,"none",1,"m",25,"driver",1,4
"23864","55+",0,"none",1,"m",59,"driver",0,4
"23865","55+",0,"none",1,"m",29,"driver",1,4
"23868","25-39",0,"belted",0,"m",19,"pass",0,4
"23890","10-24",0,"belted",0,"m",28,"driver",0,4
"23891","25-39",0,"belted",0,"f",44,"driver",0,4
"23893","1-9km/h",0,"none",0,"m",18,"driver",1,4
"23900","40-54",0,"none",0,"f",67,"driver",0,4
"23932","25-39",0,"none",1,"m",61,"driver",0,3
"23943","40-54",0,"none",1,"m",41,"driver",0,4
"23945","10-24",0,"none",0,"f",74,"driver",1,4
"23979","55+",0,"belted",1,"m",16,"driver",1,4
"24001","55+",0,"none",1,"f",18,"driver",1,4
"24003","55+",0,"belted",1,"m",41,"driver",0,4
"24005","55+",0,"belted",1,"f",48,"driver",1,3
"24011","55+",0,"none",0,"f",22,"driver",0,4
"24012","55+",0,"none",0,"f",22,"pass",0,4
"24018","10-24",0,"none",1,"m",22,"driver",0,4
"24020","55+",0,"belted",1,"f",70,"driver",1,4
"24026","55+",0,"belted",0,"m",16,"driver",0,4
"24052","40-54",0,"none",1,"f",19,"pass",1,3
"24065","40-54",0,"belted",1,"m",61,"driver",0,4
"24073","40-54",0,"belted",0,"f",35,"driver",0,4
"24090","25-39",0,"none",0,"m",19,"driver",1,4
"24137","55+",0,"none",1,"m",52,"driver",1,4
"24138","55+",0,"none",1,"f",44,"driver",1,4
"24195","55+",0,"none",1,"m",61,"driver",1,4
"24200","40-54",0,"none",0,"f",27,"driver",1,4
"24203","25-39",0,"belted",0,"f",43,"driver",0,4
"24215","25-39",0,"belted",0,"m",86,"driver",0,3
"24229","10-24",0,"none",0,"f",22,"driver",1,4
"24288","55+",0,"belted",1,"m",32,"driver",0,4
"24299","55+",0,"belted",0,"f",49,"driver",0,4
"24310","25-39",0,"belted",1,"m",29,"driver",0,4
"24375","55+",0,"belted",1,"f",38,"driver",0,4
"24380","55+",0,"belted",1,"m",89,"driver",1,4
"24470","40-54",0,"belted",0,"m",57,"driver",0,4
"24496","25-39",0,"none",1,"m",52,"driver",1,4
"24499","40-54",0,"belted",0,"m",54,"driver",0,4
"24501","25-39",0,"belted",0,"f",71,"pass",0,4
"24503","55+",0,"none",1,"m",48,"driver",1,4
"24537","55+",0,"none",1,"m",25,"driver",0,4
"24544","55+",0,"none",1,"m",40,"driver",0,4
"24554","55+",0,"belted",1,"f",66,"driver",1,4
"24559","25-39",0,"belted",0,"f",71,"pass",0,4
"24583","40-54",0,"none",0,"m",21,"driver",1,4
"24585","40-54",0,"belted",0,"m",20,"driver",0,4
"24587","40-54",0,"belted",0,"m",56,"pass",1,3
"24593","55+",0,"none",1,"m",18,"driver",0,4
"24614","40-54",0,"none",0,"f",36,"driver",1,4
"24615","25-39",0,"belted",0,"m",89,"driver",0,3
"24620","25-39",0,"belted",1,"m",22,"driver",1,4
"24629","40-54",0,"none",0,"m",31,"driver",0,4
"24637","55+",0,"belted",1,"m",25,"driver",0,4
"24639","55+",0,"belted",1,"f",32,"driver",0,4
"24648","10-24",0,"belted",0,"m",73,"driver",0,4
"24655","55+",0,"belted",1,"m",42,"driver",1,4
"24656","25-39",0,"none",1,"m",30,"driver",0,4
"24797","55+",0,"none",1,"f",22,"driver",0,4
"24804","55+",0,"none",1,"m",39,"driver",0,4
"24826","55+",0,"none",1,"m",42,"driver",1,4
"24874","40-54",0,"none",0,"m",26,"driver",0,4
"24877","1-9km/h",0,"none",1,"m",39,"driver",0,4
"24909","55+",0,"none",1,"m",39,"pass",0,4
"24918","55+",0,"belted",0,"m",47,"driver",1,4
"24939","55+",0,"belted",0,"f",38,"driver",1,4
"24945","40-54",0,"none",1,"m",23,"pass",1,4
"24946","40-54",0,"none",1,"m",36,"driver",0,4
"24962","55+",0,"none",1,"m",78,"driver",0,4
"25020","25-39",0,"belted",0,"m",48,"pass",1,4
"25046","55+",0,"none",1,"f",43,"driver",0,4
"25053","40-54",0,"none",0,"f",22,"pass",0,4
"25063","55+",0,"none",1,"m",33,"driver",1,4
"25395","55+",0,"none",1,"m",47,"driver",1,4
"25411","40-54",0,"belted",0,"f",85,"pass",0,4
"25427","55+",0,"none",0,"f",38,"driver",0,4
"25474","10-24",0,"none",1,"f",71,"pass",1,4
"25513","55+",0,"belted",1,"m",35,"driver",1,4
"25529","40-54",0,"none",0,"m",16,"driver",0,4
"25530","40-54",0,"none",0,"f",16,"pass",0,4
"25553","10-24",0,"none",1,"m",29,"driver",1,4
"25610","55+",0,"none",1,"m",71,"driver",0,4
"25611","55+",0,"none",1,"m",75,"driver",1,4
"25618","40-54",0,"belted",0,"m",36,"driver",0,4
"25619","40-54",0,"belted",0,"f",34,"pass",0,4
"25674","55+",0,"belted",1,"m",18,"pass",1,4
"25686","55+",0,"belted",0,"m",25,"driver",0,4
"25707","25-39",0,"none",1,"m",64,"driver",1,4
"25726","25-39",0,"none",1,"m",18,"driver",0,4
"25740","25-39",0,"belted",1,"f",87,"driver",1,4
"25746","25-39",0,"belted",0,"m",73,"driver",1,4
"25803","40-54",0,"none",1,"m",38,"driver",0,3
"25847","25-39",0,"belted",0,"f",75,"driver",0,4
"25861","55+",0,"belted",1,"m",19,"driver",0,4
"25894","55+",0,"none",0,"m",49,"driver",0,4
"25948","55+",0,"belted",0,"m",86,"driver",1,4
"25949","55+",0,"belted",0,"f",86,"pass",1,4
"25952","55+",0,"belted",1,"m",33,"driver",0,4
"25993","55+",0,"belted",0,"m",26,"driver",0,4
"25995","40-54",0,"none",0,"m",25,"driver",0,4
"26018","10-24",0,"none",1,"m",37,"driver",0,4
"26025","25-39",0,"none",0,"m",55,"driver",0,4
"26037","40-54",0,"belted",0,"m",17,"pass",0,3
"26044","40-54",0,"none",1,"f",37,"driver",0,4
"26073","40-54",0,"none",1,"f",39,"pass",0,4
"26081","55+",0,"none",0,"f",58,"driver",0,3
"26093","10-24",0,"none",1,"f",51,"driver",1,4
"26098","40-54",0,"none",1,"f",55,"driver",0,3
"26158","55+",0,"none",0,"m",22,"pass",1,3
"26184","25-39",0,"none",1,"m",43,"driver",0,4
"26194","25-39",0,"belted",0,"f",38,"driver",0,4
